Dataset1,
X,Y
29451041.52619888,43.281075288968196
29451041.52619888,42.86185182620633
29451041.52619888,42.44262836344446
29451041.52619888,42.0234049006826
29451041.52619888,41.60418143792073
30692159.819928795,40.24170518394467
30538046.828517314,39.68228686188256
30538046.828517314,39.263063399120696
30538046.828517314,38.84383993635883
30538046.828517314,38.42461647359696
30538046.828517314,38.00539301083509
30538046.828517314,37.58616954807323
30538046.828517314,37.166946085311366
30171325.520875078,36.74500039227182
31372259.916840795,36.168934585050096
31284915.707150623,35.571719142594134
31284915.707150623,35.15249567983226
31284915.707150623,34.73327221707039
31284915.707150623,34.31404875430853
31857030.293318044,33.886658600713645
32295538.60626634,30.38544063779097
31760956.42363018,47.5733518792914
32485747.63714708,33.19953565239005
32563606.11602255,32.42564477444965
31665172.291822836,33.600824421557824
34589920.560875334,31.69284346693887
36005125.3989156,29.796722521424428
35996223.180477,30.942301894131713
37090962.566745035,30.295376929848263
36810005.35114205,32.857289101676855
37050247.73667493,32.42209871132478
37050247.73667493,32.01539750784022
40700531.04020775,47.384171998494566
40892204.46982846,29.487458854484004
40523353.11955032,31.727340173957636
40432444.12488331,30.850953036448516
41472657.73693209,30.038695362211538
41256105.17807686,32.811922087087765
40809948.43175636,32.34315403327223
42552813.0325334,38.74290801375582
41808037.16328081,38.08270435072105
41808037.16328081,37.66348088795918
41808037.16328081,37.24425742519732
41808037.16328081,36.825033962435455
41808037.16328081,36.405810499673585
41808037.16328081,35.986587036911715
41808037.16328081,35.56736357414985
41808037.16328081,35.14814011138799
41808037.16328081,34.72891664862612
41808037.16328081,34.30969318586425
41808037.16328081,33.890469723102385
41808037.16328081,33.47124626034052
40809948.43175636,33.219712182683395
43613788.199809015,44.56732909516938
43155167.0686661,43.881327065195414
43090044.637240134,43.40176083127843
43090044.637240134,42.98253736851656
43090044.637240134,42.5633139057547
43090044.637240134,42.144090442992834
43090044.637240134,41.72486698023096
43090044.637240134,41.3056435174691
43090044.637240134,40.88642005470723
43090044.637240134,40.46719659194537
43090044.637240134,40.047973129183504
43090044.637240134,39.62874966642163
42960094.44115451,39.29845239273047
45927069.81038351,48.98187919546479
45207458.18415886,46.878102272932985
44411363.76691927,46.19386168607987
44411363.76691927,45.774638223318
44411363.76691927,45.35541476055614
44815604.537538484,45.04371939376241
46301578.59263904,47.741041264396145
45314676.77450876,47.225586961318484
45497532.2976519,29.66720167031823
49475247.60434078,48.29508318165984
50685263.52008864,31.049225050038153
51547245.08003492,49.11717404026521
52868731.89078584,48.782702680148276
52595699.64293853,47.55429626734768
51685822.26696673,47.12522740508155
52505002.59449525,46.66698530833969
52278943.6324811,46.22199139894917
52278943.6324811,45.8027679361873
52595699.64293853,45.36467034350023
52278943.6324811,44.96432101066357
51964095.27551705,44.592101390696214
52278943.6324811,44.18939279161891
52278943.6324811,43.76826376766267
52278943.6324811,43.350945866095174
51964095.27551705,42.873761583671154
53557529.529810436,42.47121178136005
53557529.529810436,42.04722441561225
53557529.529810436,41.62323704986445
53557529.529810436,41.20401358710259
53557529.529810436,40.78479012434072
53557529.529810436,40.36556666157885
53557529.529810436,39.94634319881698
53557529.529810436,39.52711973605512
54922652.98126155,38.990386666306975
55516625.357175365,38.234346904715295
52595699.64293853,48.34986806599804
55758372.639927134,38.77124712895418
57314074.6835847,31.46098506478873
57237189.43983091,30.754608928509285
57822479.89446546,37.47412828085526
57932886.31740478,36.89917761618011
57932886.31740478,36.47995415341825
57932886.31740478,36.060730690656385
57932886.31740478,35.641892189751964
57932886.31740478,35.222283765132644
57932886.31740478,34.80306030237078
58419469.9451965,34.3498565525764
56961255.564426556,33.92286426340671
57855170.95498339,33.473787008599686
57583987.26161193,33.02915606324619
57583987.26161193,32.60993260048432
57583987.26161193,32.19070913772245
57700052.84930681,31.89852308791873
57336060.85944542,48.9514809573641
59614506.72312111,47.34694112159166
63205931.08539966,43.5959943495118
63045374.64957311,43.03854931877538
63045374.64957311,42.61932585601352
63045374.64957311,42.20010239325165
63045374.64957311,41.78087893048978
63045374.64957311,41.361655467727914
63299777.7653819,40.93564705222851
61966605.549357876,40.537067169072344
62194288.71628034,40.14060457613215
62194288.71628034,39.71767585549233
62194288.71628034,39.29845239273047
61622949.66674311,38.18052315869882
63427364.0312291,38.77918696726406
63427364.0312291,46.09041693552824
63427364.0312291,45.5296374983273
64587275.10352004,45.1242726624336
64587275.10352004,44.70504919967173
64587275.10352004,44.285825736909864
65768397.74145274,43.995660736857744
64639316.18225308,31.060076162394996
66166885.810171425,47.7175682151382
67512699.213644,37.475465516781135
65967340.8837786,36.845995135573546
66357489.74445408,36.05899836229786
62288283.589948036,35.745941880365294
62288283.589948036,35.31582949649273
62288283.589948036,34.89660603373086
62288283.589948036,34.33446548139109
69512898.61076987,39.12853985289895
68609032.23306032,47.23251627475257
68195836.41136718,43.45257579646169
68609032.23306032,42.95077801527703
68609032.23306032,42.53155455251516
68609032.23306032,42.1123310897533
68609032.23306032,41.69310762699143
68609032.23306032,41.273884164229564
69442949.65571925,40.75049002284202
69863701.6862495,40.36556666157885
69863701.6862495,39.94634319881698
69442949.65571925,39.685916502252795
70855397.1553864,38.37531385856797
75070696.76142626,30.99549881080794
72442293.48596548,37.92644833278254
72442293.48596548,37.50722487002067
72442293.48596548,37.0880014072588
73767062.68613528,36.57349988477833
75469806.76836757,36.228381579575384
75510341.09864774,35.776128389444395
76243693.19139259,35.08716215316808
75116058.2511709,47.42567088672756
78559991.03885536,34.40517183097174
77707757.45774361,33.81776523445557
81112515.12807426,33.380323769066194
80276892.78876379,32.89403445128161
79608255.74433924,32.44722699081101
81341917.9427547,31.96723877947336
82074795.44277628,31.462784761472303
85275619.94350241,30.808311107623407
85761821.97860831,40.53790785783457
84251573.21807545,39.87828744187512
84251573.21807545,39.45906397911326
84251573.21807545,39.03984051635139
84251573.21807545,38.62061705358953
84251573.21807545,38.20139359082766
84251573.21807545,37.78217012806579
84251573.21807545,37.36294666530392
84251573.21807545,36.94372320254206
84251573.21807545,36.52449973978019
84251573.21807545,36.105276277018326
84251573.21807545,35.686052814256456
84995106.39030264,35.05598024271471
88423048.56515661,46.632412983813225
88423048.56515661,46.03894203573221
88423048.56515661,45.61971857297034
88423048.56515661,45.20049511020848
88423048.56515661,44.781271647446616
88423048.56515661,44.362048184684745
88423048.56515661,43.942824721922875
88423048.56515661,43.52360125916101
88423048.56515661,43.10437779639915
88423048.56515661,42.68515433363728
88423048.56515661,42.265930870875415
88423048.56515661,41.846707408113545
88423048.56515661,41.42748394535168
89257841.4523916,41.06215514263266
89768520.35054623,31.23988703398616
90040061.57906565,34.49008631226481
84762050.10136771,34.058159108207136
90585610.67982095,49.50711840404053
88958800.24929318,49.035870095972
88958800.24929318,48.61664663321014
88958800.24929318,48.19742317044827
90585610.67982095,47.67741669340628
90585610.67982095,47.25734631455802
95909711.37138456,40.575178392959785
96663189.80205323,39.79866220625315
96226246.93520404,39.271774536009254
95839511.6589186,38.82523802946139
95070697.7508134,46.59675176717569
95070697.7508134,46.17752830441382
95070697.7508134,45.758304841651956
95070697.7508134,45.339081378890086
95070697.7508134,44.91985791612822
95070697.7508134,44.50063445336635
95070697.7508134,44.08141099060449
95070697.7508134,43.66218752784262
96809277.8834719,42.99524110981238
96809277.8834719,42.57601764705051
96809277.8834719,42.15679418428864
96809277.8834719,41.73757072152678
96809277.8834719,41.318347258764916
95070697.7508134,41.146846751271426
98579651.83850896,38.39739417082022
98579651.83850896,37.97817070805835
98579651.83850896,37.55894724529649
98579651.83850896,37.13972378253462
98579651.83850896,36.72050031977275
98579651.83850896,36.30127685701088
98579651.83850896,35.88205339424901
98579651.83850896,35.46282993148715
98579651.83850896,35.04360646872529
101339817.31685653,31.62312412482733
100990613.95531145,30.988473256909497
99777851.06260721,34.46467882967319
100122860.95643976,33.96832550904388
101690228.14692703,33.50282413156154
101602512.01115215,33.041859804542
101602512.01115215,32.62263634178014
101602512.01115215,32.20341287901827
98579651.83850896,32.000153018285246
113468625.43470205,31.26242861303546
