Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	Q_dot [MW]	W_net [kW]	T_turb_out [C]	x_turb_out [-]	link
S.PIETRO_AL_NATISONE_001	1397.0	1.2582678562940084	12942.605940633994	-5.324414283501762	-0.21662694965561913	-5.5794228353514335	2.0465991000805843	-9999990.0	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5707
CAPO_NEGRO_001	2130.0	0.0008143795983040162	12090.365551122452	-3.177190270530385	-0.32197475140513415	-11.474745683005894	-2.248732456743369	-9999990.0	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1210
BERNADIA_001	2570.0	1.0636750111485742	11775.902847949033	-2.83847972250168	-0.3442081766286731	-14.283625577238855	-3.184110705453577	-9999990.0	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=764
CASTELLUZZO_002	3690.0	1.3560735908308317	11183.021416564023	-2.0681322462922584	-0.4323731961767428	-23.536572783547452	-6.981009210615014	-9999990.0	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1362
SUVIANA_001	7810.0	237.25386677414593	1778.5787317755394	0.007797071179023536	1.4126207108724496	310.1029767770867	10.00000000000108	0.7165049669964373	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6310
S.BARTOLOMEO_004	7104.0	204.08272544137193	1691.095267879843	0.02050025060462527	1.184444019170786	229.04955626982556	10.00000000000108	0.6007699139148004	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5518
BRIGNANO_002	6947.0	195.72192793610532	1670.0112921938282	0.024208320446557702	1.1263316245775494	210.64057593289996	10.00000000000108	0.5712943306604736	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=918
SETTIMO_MILANESE_001	6620.0	193.59777008738814	1674.6287552229862	0.024861956905057762	1.1307120049498323	207.1756523913116	10.00000000000108	0.5735161332079781	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6173
MALOSSA_002	6471.0	189.0335325871491	1665.7271519793649	0.02691590965018958	1.1033527742303466	197.78016284898797	10.00000000000108	0.559639071550285	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3454
BRIGNANO_001	6503.0	188.91272548864413	1664.2205190126117	0.027016779375678177	1.100183250976581	197.40426477386092	10.00000000000108	0.5580314360846184	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=917
S.GENESIO_001	6150.0	182.7366816158193	1658.0613472246382	0.0296932879321347	1.0737588465321317	185.5933784451324	10.00000000000108	0.5446285340255966	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5577
MALOSSA_003	6173.0	180.09353948625022	1649.2427172592104	0.031129595504599577	1.0504557620622135	180.06570137433474	10.00000000000108	0.5328088179188436	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3455
MALOSSA_004	6197.0	179.40228010082416	1646.3166163597257	0.03154114691828596	1.0431557428604772	178.57736465245137	10.00000000000108	0.529106125485584	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3456
VALLE_SALIMBENE_001	6011.0	175.32790938547635	1640.9837983267043	0.03348824443434424	1.0226214554657607	170.9900836246513	10.00000000000108	0.5186907897915755	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6712
MALOSSA_008	5927.0	172.7500623115325	1636.5081282823323	0.03480755637833634	1.0073560940786004	166.17216757450137	10.00000000000108	0.5109479419253994	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3459
REA_001_DIR	6257.0	173.12376602054152	1625.944615810786	0.035191852398063356	0.9881777777809201	165.89529115256622	10.00000000000108	0.5012203775621185	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5086
S.BARTOLOMEO_002	6145.0	171.24700207644432	1624.4427966429957	0.036094423573925956	0.980399637388446	162.59608707667795	10.00000000000108	0.497275174024956	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5517
MALOSSA_010	5830.0	169.81239156966203	1631.5621253666618	0.03634289821802441	0.9900827468937292	160.7736324985727	10.00000000000108	0.5021866099136599	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3461
MALOSSA_007	5700.0	165.4850297034315	1624.0114083963895	0.03870204617571987	0.963807218743785	152.9544259742205	10.00000000000108	0.4888592204134304	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3458
MALOSSA_013	5651.0	164.3233725283638	1622.5509873125125	0.03932031291756459	0.9577478348356246	150.9296898196882	10.00000000000108	0.4857857990528918	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3464
SALI_VERCELLESE_001	5806.0	164.42713115781194	1617.187029076436	0.039594467612941386	0.9479397260463127	150.69069681184774	10.00000000000108	0.48081096142641905	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5928
MALOSSA_012	5621.0	163.43710381142893	1621.1757523958975	0.03981210434183068	0.9526150010539743	149.37371112697582	10.00000000000108	0.48318233948939154	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3463
MALOSSA_009	5558.0	161.34092287452143	1617.669527471494	0.04100918105283888	0.9399319240073004	145.70534926345573	10.00000000000108	0.4767492696421237	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3460
MALOSSA_001	5545.0	161.15507470871495	1617.6389721937696	0.04109908526826665	0.9393262418892281	145.40235499857516	10.00000000000108	0.47644205749191276	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3453
MALOSSA_015	5497.0	159.60581100692957	1615.1446865361336	0.04199669896351368	0.9300645708996913	142.7283106405288	10.00000000000108	0.47174438230166954	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3466
MALOSSA_011	5450.0	158.28691861737752	1613.278575597472	0.042755988783490864	0.9226169315721356	140.4881841281522	10.00000000000108	0.4679668144594882	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3462
MALOSSA_014	5421.0	157.4351268110115	1612.035825484118	0.043254569563637296	0.917715805743978	139.04759811946423	10.00000000000108	0.46548088106440133	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3465
LEGNARO_001_DIR	4989.0	154.5622961164716	1621.2627901640806	0.04406711442043102	0.9255620747138974	135.0815900023235	10.00000000000108	0.4694606405611062	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3255
PONTE_DELL'OLIO_001	5325.0	153.667103081053	1605.441435753663	0.045597192799639495	0.8938017574296193	132.687513109672	10.00000000000108	0.4533512738270509	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4585
BELVEDERE_001	7267.0	159.51101757930044	1561.0514061130336	0.04652264771304028	0.8226899338608159	138.00209145346773	10.00000000000108	0.4172821617100773	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=755
MONTE_CIVITELLO_001	5600.0	153.0091002320768	1593.7497909599645	0.04683674482198053	0.8697999144749821	130.8903903861076	10.00000000000108	0.4411771356725542	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3896
S.DONATO_001	4763.0	147.07124005199026	1610.145767340593	0.04869038589704289	0.8806815574394871	122.81610828228818	10.00000000000108	0.4466964878759733	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5566
MOLINARA_NORD_001	5400.0	149.64138712170106	1592.0970276936164	0.04874522607875566	0.8561361105813541	125.65571488965652	10.00000000000108	0.43424662468507047	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3806
S.BARTOLOMEO_001	5277.0	147.84406800898142	1591.9203769169474	0.04972831122344036	0.8500199214347341	122.93987434666894	10.00000000000108	0.4311443907528381	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5516
MARTINENGO_001	6904.0	153.19327468495314	1555.448509872517	0.050484142352507984	0.7939485569829214	128.07440912497754	10.00000000000108	0.4027040522905945	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3525
LAMA_DEI_CERRI_001	5811.0	148.8098886035472	1576.1456965879993	0.050655783466849506	0.8229554282631014	123.3322613252612	10.00000000000108	0.41741682493317955	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3212
LAIATICO_001	2070.0	129.02837709085009	1711.1054406778046	0.051206117347388565	1.0005419485861629	97.61584477948782	10.00000000000108	0.5074916928037564	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3210
CHIARI_001	6840.0	151.79965012288346	1553.8899181070492	0.05143500492453252	0.7867857242684753	125.89534789608268	10.00000000000108	0.39907094314943287	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1673
MALPAGA_001	6704.0	146.18202877514236	1544.7893419351478	0.05583201226521071	0.7514572310179042	117.02364792261855	10.00000000000108	0.3811517375936127	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3469
PRATOMAGNO_001	4259.0	132.7697723251886	1594.3696460700469	0.05830155565865657	0.8010169540078309	101.18009546203888	10.00000000000108	0.4062892620628072	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4851
MONTEFREDDO_002	5019.0	135.50100132004928	1570.7764723196128	0.059078312946672644	0.768514610687709	103.90202149582154	10.00000000000108	0.38980352725186435	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3974
VILLA_DEGNA_001	6907.0	142.9174539984177	1532.8956707784637	0.05961846750985949	0.7163655750559526	111.38702858862351	10.00000000000108	0.3633526598911931	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6879
RABBITO_001	4974.0	131.7282662603705	1563.6033018253756	0.06242208107570226	0.7414757114493533	98.35303997813375	10.00000000000108	0.3760889431053308	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4891
FERRARA_001	4743.0	129.68479010111412	1567.1779096126704	0.06334101829604302	0.7406524217845499	95.7743840181135	10.00000000000108	0.3756713567500068	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2555
CERTALDO_004	2654.0	117.76899870559777	1643.3032952482265	0.06361534628032439	0.8198771486092417	81.81340789010748	10.00000000000108	0.41585546975495047	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1595
BRE'_001	5975.0	134.46233801626389	1538.8673891057128	0.06419667280040436	0.7021737285805772	100.48214304019523	10.00000000000108	0.35615431683123877	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=904
MANFRIA_002	5910.0	133.2008818553602	1538.0262284565006	0.06520909312003981	0.6961893454228673	98.74658852121502	10.00000000000108	0.3531189371118939	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3480
SARSINA_001	5772.0	130.43579055859541	1536.157540612283	0.06749907754513701	0.68284664660134	94.98469081869058	10.00000000000108	0.34635129601391196	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5980
LACCHIARELLA_002	5107.0	127.14451945426461	1549.0649974043895	0.06772740160232077	0.6968373439192115	91.49989954475255	10.00000000000108	0.3534476128403915	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3206
S.FELE_001	5315.0	128.11618091135466	1544.6139575346801	0.06773959505445452	0.6916546823591488	92.51081591968075	10.00000000000108	0.35081887979020665	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5570
MODIGLIANA_001	5057.0	126.1363411169285	1548.5356084269943	0.06855590057970934	0.6920701230108179	90.16381398291443	10.00000000000108	0.3510295982711987	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3801
PACHINO_004	5003.0	124.94701787591822	1547.774277508038	0.06957173585526534	0.6861405115696304	88.59121190319478	10.00000000000108	0.34802199968704295	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4223
CALTAGIRONE_001	4176.0	120.24718007499618	1567.4617984940528	0.07011804026686763	0.7044242624709453	83.42362971251598	10.00000000000108	0.3572958254459937	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1075
CASTELNOVO_001	6513.0	131.1805568267795	1518.9052422155976	0.07032713944303799	0.6488634830494988	94.57658704246103	10.00000000000108	0.3291144642927444	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1365
SETTEFARINE_001	4715.0	120.7074232674084	1548.455211532263	0.07274964936174828	0.6711660985002957	83.24308853081253	10.00000000000108	0.34042672569774435	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6167
