Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	W_dot [MW]	link
TRESIGALLO_010	1350.0	45.94340282254878	2380.95542977915	0.04495672379945707	1.7835669178705282	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6628
GRAZZANO_VISCONTI_001	1501.0	45.839076214207765	2376.0824804070194	0.044996223218957514	1.7775763776247722	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3049
COLLE_DELLE_TANE_001	1360.0	45.794616371141146	2377.2644512094325	0.04501855217383354	1.777766916788827	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1841
TAURASI_001	3476.0	109.2570003850926	1313.9284321912232	0.04504416559851901	0.9531664895420626	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6318
TORRENTE_CIGNO_001	1383.0	45.61582965814407	2372.645033008165	0.04509287982546304	1.7706550248420279	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6413
PASTONELLO_001	3480.0	109.11910798707112	1313.9206856710755	0.04510149326890521	0.9519499680555505	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4307
BOMBA_003	1351.0	45.52505272647454	2370.9890726617846	0.045131914788391146	1.7676271603692306	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=804
FERRANDINA_018	1350.0	45.49961148924326	2370.397356628975	0.04514265862049455	1.766672057259435	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2547
CUSANO_MILANINO_001	1499.0	45.43042043443029	2366.379858074157	0.04516796990462237	1.762057944530362	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2282
CESENA_001	1344.0	45.258668293841936	2364.719155525635	0.04524466901520781	1.7575765117807152	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1655
CAVAGLIETTO_002	1500.0	45.22399344302029	2361.41257954879	0.04525537421460478	1.7541880790770956	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1406
GALASSO_001	1365.0	45.20794643240606	2363.166977070372	0.045265644340442314	1.7553666217586386	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2791
BOMBA_001	1340.0	45.19652508514734	2363.2889340375523	0.04527114736295464	1.75526285313636	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=802
S.PIETRO_IN_CASALE_007	1364.0	45.177012087944654	2362.4395935000957	0.045278812103402774	1.754202588327514	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5714
MONTESILVANO_001	1496.0	45.150895809779705	2359.7209821250694	0.045286548240188844	1.75146185733619	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4007
BELGIOIOSO_001	1500.0	45.00008210881808	2442.332775839071	0.045313524676910674	1.8253688028968773	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=717
TORRENTE_MANNARA_002	1497.0	44.999221728733296	2442.3605074267252	0.045313972246514275	1.8253762161470988	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6419
MONTESTILLO_004	1498.0	44.96167978366463	2441.3651259379853	0.04532937203226543	1.823843288400679	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4013
LUCERA_004	1498.0	44.95668774956811	2441.2345916356394	0.045331425088206014	1.8236410068864592	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3351
RAVIZZA_001_OR_B	4571.0	108.7612076778004	1312.8178314654203	0.04533748874876195	0.9462911486510615	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5083
SERRA_D'OLIVO_002	1500.0	45.02476731910476	2356.6206191746996	0.04534020646596398	1.7466107540924558	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6124
RAVIZZA_001_OR_A	4561.0	108.51596678451514	1312.8213114217376	0.04543945588774648	0.9441698652722675	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5082
FURCI_009	1340.0	44.51083010928361	2432.1957391310802	0.045520795954747596	1.807811926524912	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2721
BAURA_001	1304.0	44.42908878923148	2447.5582326065505	0.04555281363824574	1.8205524782869953	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=712
BAGNOLO_IN_PIANO_001	5151.0	108.08278736518477	1312.2557603663827	0.04567198053662267	0.9390048509570812	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=459
VIZZOLA_014	1392.0	44.161539467793666	2391.706678954439	0.04567730924490875	1.7650677860778015	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6940
VILLAROSA_002	1393.0	44.126097167796615	2390.775507742431	0.04569237857281685	1.7636501001382456	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6916
CINZANO_001	1382.0	44.08684470366425	2389.9417597299853	0.045709427283712856	1.7622446063593546	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1754
S.PIETRO_IN_CASALE_012	1400.0	44.03658370846267	2388.3476045814004	0.0457303767495358	1.7600088325179433	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5719
CAPECCE_001	1380.0	44.00699743643728	2387.909530730177	0.04574358444909734	1.7591083366578726	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1200
CARRUBO_001	3619.0	107.37988914346964	1313.7351254964092	0.04584438752297906	0.9364068099609442	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1244
RANDAZZO_003	4030.0	107.25330596345682	1313.3029131374203	0.04593197210609905	0.9343490374970412	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4993
LAVELLO_003	2016.0	55.2971514884825	1113.7966995233885	0.04594189716074118	0.8133915762471627	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3241
LIDO_001	1333.0	43.435846429348956	2373.8130317523037	0.04599096037178309	1.7371150148002226	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3297
CROCE_VOLPARE_001	1370.0	43.32466556418716	2370.2895307027807	0.04603829700752891	1.7322073799343716	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2240
